GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.spiceflow.backend.inventory.transfer.workflow,WarehouseTransferStateMachine,6,54,0,0,1,10,1,2,1,2
,com.spiceflow.backend.dashboard.finance.service,FinanceDashboardService,74,4,10,0,15,1,6,1,1,1
,com.spiceflow.backend.sales.delivery.adapter,DeliveryPersistenceAdapter,3,545,3,19,0,150,3,11,0,3
,com.spiceflow.backend.sales.collection.workflow.command,ConfirmCashCollectionCommand,4,41,1,5,2,10,2,7,1,5
,com.spiceflow.backend.sales.collection.workflow.command,CancelCashCollectionCommand,12,20,1,1,4,6,2,5,1,5
,com.spiceflow.backend.sales.delivery.entity,DeliveryShopItemWorkflowEntity,6,103,0,0,2,30,2,21,2,21
,com.spiceflow.backend.sales.delivery.entity,DeliveryShopReturnWorkflowEntity,6,76,0,0,2,22,2,15,2,15
,com.spiceflow.backend.sales.delivery.entity,DeliveryShopWorkflowEntity,6,134,0,0,2,38,2,25,2,25
,com.spiceflow.backend.sales.delivery.entity,DeliveryWorkflowEntity,0,178,0,0,0,52,0,41,0,41
,com.spiceflow.backend.sales.delivery.entity,DeliveryPaymentWorkflowEntity,6,68,0,0,2,20,2,15,2,15
,com.spiceflow.backend.sales.collection.adapter,CashCollectionPersistenceAdapter,0,145,0,0,0,48,0,3,0,3
,com.spiceflow.backend.common.cache,TenantAwareKeyGenerator,1,17,1,1,0,4,1,2,0,2
,com.spiceflow.backend.sales.loading.domain,LoadingSheetItem,10,29,3,3,0,6,3,2,0,2
,com.spiceflow.backend.sales.loading.domain,LoadingSheetState,0,21,0,0,0,4,0,1,0,1
,com.spiceflow.backend.sales.loading.domain,LoadingSheet,20,424,7,12,3,111,9,28,2,25
,com.spiceflow.backend.sales.loading.domain,LoadingSheetReturnItem,23,30,5,5,2,5,6,1,1,1
,com.spiceflow.backend.sales.loading.domain,LoadingSheetEvent,15,38,0,0,5,7,5,1,5,1
,com.spiceflow.backend.sales.collection.entity,CashCollectionWorkflowEntity,0,193,0,0,0,60,0,45,0,45
,com.spiceflow.backend.sales.delivery.service,DeliveryWorkflowService,104,368,12,22,16,85,18,18,9,10
,com.spiceflow.backend.inventory.service,SupplierService,84,193,1,3,16,42,2,9,1,8
,com.spiceflow.backend.inventory.service,WarehouseService,92,206,4,8,18,43,7,8,3,6
,com.spiceflow.backend.inventory.service,ProductService,94,362,6,8,14,77,7,12,1,11
,com.spiceflow.backend.inventory.service,InventoryTransactionService,159,246,12,18,27,51,13,15,5,4
,com.spiceflow.backend.inventory.service,InventoryItemService,209,650,22,26,31,149,29,11,7,9
,com.spiceflow.backend.inventory.service,ProductCategoryService,91,204,2,8,17,46,3,11,1,8
